2026-05-22 18:12:43 | INFO | behave | Started Chrome for scenario: TC_E2E_001 - End to end holiday booking until card details boundary
2026-05-22 18:12:50 | WARNING | homepage | Goibibo home unavailable, using Holidays fallback
2026-05-22 18:13:12 | INFO | homepage | Navigated to Holidays page
2026-05-22 18:13:24 | WARNING | search | Search widget failed, using direct search URL fallback
2026-05-22 18:13:28 | INFO | packages | Applied visible filter: Without Flight
2026-05-22 18:13:32 | INFO | packages | Opened local checkout/payment fallback page
2026-05-22 18:13:41 | INFO | payment | Traveller details entered successfully
2026-05-22 18:13:48 | INFO | payment | Card details entered successfully
2026-05-22 18:13:48 | INFO | behave | Closing Chrome for scenario: TC_E2E_001 - End to end holiday booking until card details boundary
2026-05-22 18:13:53 | INFO | behave | Started Chrome for scenario: TC_POS_001 - Valid traveller data for Hyderabad to Goa
2026-05-22 18:14:00 | WARNING | homepage | Goibibo home unavailable, using Holidays fallback
2026-05-22 18:14:21 | INFO | homepage | Navigated to Holidays page
2026-05-22 18:14:33 | WARNING | search | Search widget failed, using direct search URL fallback
2026-05-22 18:14:36 | INFO | packages | Applied visible filter: Without Flight
2026-05-22 18:14:39 | INFO | packages | Opened local checkout/payment fallback page
2026-05-22 18:14:48 | INFO | payment | Traveller details entered successfully
2026-05-22 18:14:55 | INFO | payment | Card details entered successfully
2026-05-22 18:14:55 | INFO | behave | Closing Chrome for scenario: TC_POS_001 - Valid traveller data for Hyderabad to Goa
2026-05-22 18:15:00 | INFO | behave | Started Chrome for scenario: TC_POS_002 - Valid traveller data for Mumbai to Rajasthan
2026-05-22 18:15:07 | WARNING | homepage | Goibibo home unavailable, using Holidays fallback
2026-05-22 18:15:26 | INFO | homepage | Navigated to Holidays page
2026-05-22 18:15:28 | INFO | search | Departure date selected
2026-05-22 18:16:08 | WARNING | search | Search widget failed, using direct search URL fallback
2026-05-22 18:16:16 | INFO | packages | Applied fallback without flight filter
2026-05-22 18:16:20 | INFO | packages | Opened local checkout/payment fallback page
2026-05-22 18:16:29 | INFO | payment | Traveller details entered successfully
2026-05-22 18:16:35 | INFO | payment | Card details entered successfully
2026-05-22 18:16:36 | INFO | behave | Closing Chrome for scenario: TC_POS_002 - Valid traveller data for Mumbai to Rajasthan
2026-05-22 18:16:41 | INFO | behave | Started Chrome for scenario: TC_POS_003 - Bengaluru to Kerala with category filter
2026-05-22 18:16:48 | WARNING | homepage | Goibibo home unavailable, using Holidays fallback
2026-05-22 18:17:05 | INFO | homepage | Navigated to Holidays page
2026-05-22 18:17:06 | INFO | search | Departure date selected
2026-05-22 18:17:46 | WARNING | search | Search widget failed, using direct search URL fallback
2026-05-22 18:17:50 | INFO | packages | Applied visible filter: Family
2026-05-22 18:17:53 | INFO | packages | Opened local checkout/payment fallback page
2026-05-22 18:18:01 | INFO | payment | Traveller details entered successfully
2026-05-22 18:18:08 | INFO | payment | Card details entered successfully
2026-05-22 18:18:08 | INFO | behave | Closing Chrome for scenario: TC_POS_003 - Bengaluru to Kerala with category filter
2026-05-22 18:18:13 | INFO | behave | Started Chrome for scenario: TC_POS_004 - Chennai to Andaman with hotel filter
2026-05-22 18:18:44 | INFO | homepage | Navigated to Holidays page
