2026-05-20 12:28:03 | INFO | pytest | Started Chrome browser
2026-05-20 12:29:54 | INFO | pytest | Closing Chrome browser
2026-05-20 12:29:58 | INFO | pytest | Started Chrome browser
2026-05-20 12:31:59 | INFO | pytest | Closing Chrome browser
2026-05-20 12:32:03 | INFO | pytest | Started Chrome browser
2026-05-20 12:34:07 | INFO | pytest | Closing Chrome browser
2026-05-20 12:34:11 | INFO | pytest | Started Chrome browser
2026-05-20 12:36:02 | INFO | pytest | Closing Chrome browser
2026-05-20 12:36:06 | INFO | pytest | Started Chrome browser
2026-05-20 12:38:05 | INFO | pytest | Closing Chrome browser
