2026-05-21 01:18:27 | INFO | pytest | Started Chrome browser
2026-05-21 01:20:21 | INFO | pytest | Closing Chrome browser
2026-05-21 01:20:25 | INFO | pytest | Started Chrome browser
2026-05-21 01:22:28 | INFO | pytest | Closing Chrome browser
2026-05-21 01:22:32 | INFO | pytest | Started Chrome browser
2026-05-21 01:24:32 | INFO | pytest | Closing Chrome browser
2026-05-21 01:24:35 | INFO | pytest | Started Chrome browser
2026-05-21 01:26:37 | INFO | pytest | Closing Chrome browser
2026-05-21 01:26:42 | INFO | pytest | Started Chrome browser
2026-05-21 01:28:33 | INFO | pytest | Closing Chrome browser
2026-05-21 01:28:37 | INFO | pytest | Started Chrome browser
2026-05-21 01:30:37 | INFO | pytest | Closing Chrome browser
2026-05-21 01:31:40 | ERROR | pytest | Could not generate/open Allure report automatically: Command '['npx.cmd', 'allure', 'generate', 'C:\\Users\\LENOVO\\OneDrive\\Desktop\\Deekshith_WiproCapstone\\Goibibo_Holidays_Automation\\reports\\allure-results', '--clean', '-o', 'C:\\Users\\LENOVO\\OneDrive\\Desktop\\Deekshith_WiproCapstone\\Goibibo_Holidays_Automation\\reports\\allure-report']' returned non-zero exit status 1.
