2026-05-20 14:23:15 | INFO | pytest | Started Chrome browser
2026-05-20 14:25:22 | INFO | pytest | Closing Chrome browser
2026-05-20 14:25:27 | INFO | pytest | Started Chrome browser
2026-05-20 14:27:35 | INFO | pytest | Closing Chrome browser
2026-05-20 14:27:40 | INFO | pytest | Started Chrome browser
2026-05-20 14:29:44 | INFO | pytest | Closing Chrome browser
2026-05-20 14:29:48 | INFO | pytest | Started Chrome browser
2026-05-20 14:31:58 | INFO | pytest | Closing Chrome browser
2026-05-20 14:32:02 | INFO | pytest | Started Chrome browser
2026-05-20 14:33:48 | INFO | pytest | Closing Chrome browser
2026-05-20 14:33:52 | INFO | pytest | Started Chrome browser
2026-05-20 14:35:55 | INFO | pytest | Closing Chrome browser
