2026-05-21 12:17:42 | INFO | pytest | Started Chrome browser
2026-05-21 12:17:54 | INFO | homepage | Navigated to Holidays page
2026-05-21 12:18:03 | INFO | search | Selected FROM city: Hyderabad
2026-05-21 12:18:03 | INFO | search | Selected TO city: Goa
2026-05-21 12:18:04 | INFO | search | Departure date selected
2026-05-21 12:18:06 | INFO | search | Holiday search submitted
2026-05-21 12:18:46 | WARNING | search | Search widget failed, using direct search URL fallback
2026-05-21 12:18:51 | INFO | packages | Opened direct checkout page
2026-05-21 12:19:21 | INFO | payment | Traveller details entered successfully
2026-05-21 12:19:32 | INFO | payment | Card details entered successfully
2026-05-21 12:19:32 | INFO | pytest | Closing Chrome browser
2026-05-21 12:19:37 | ERROR | pytest | Could not generate/open Allure report automatically: Command '['npx.cmd', 'allure', 'generate', 'C:\\Users\\LENOVO\\OneDrive\\Desktop\\Deekshith_WiproCapstone\\Goibibo_Holidays_Automation\\reports\\allure-results', '--clean', '-o', 'C:\\Users\\LENOVO\\OneDrive\\Desktop\\Deekshith_WiproCapstone\\Goibibo_Holidays_Automation\\reports\\allure-report']' returned non-zero exit status 1.
