"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Runs data-driven positive and negative scenarios from the CSV/XLSX test data.","108809","TC_POS_003 - positive Goibibo Holidays scenario","tests","2026-05-21","passed","2026-05-21","","test_positive_negative","",""
"Searches a holiday package, fills traveller/review details, proceeds to payment, enters dummy card data, and stops before Pay.","123467","Goibibo Holidays end-to-end booking until card details boundary","tests","2026-05-21","passed","2026-05-21","","test_holidays","",""
"Runs data-driven positive and negative scenarios from the CSV/XLSX test data.","118940","TC_NEG_002 - negative Goibibo Holidays scenario","tests","2026-05-21","passed","2026-05-21","","test_positive_negative","",""
"Runs data-driven positive and negative scenarios from the CSV/XLSX test data.","120936","TC_POS_004 - positive Goibibo Holidays scenario","tests","2026-05-21","passed","2026-05-21","","test_positive_negative","",""
"Runs data-driven positive and negative scenarios from the CSV/XLSX test data.","122162","TC_POS_001 - positive Goibibo Holidays scenario","tests","2026-05-21","passed","2026-05-21","","test_positive_negative","",""
"Runs data-driven positive and negative scenarios from the CSV/XLSX test data.","120943","TC_POS_002 - positive Goibibo Holidays scenario","tests","2026-05-21","passed","2026-05-21","","test_positive_negative","",""
"Runs data-driven positive and negative scenarios from the CSV/XLSX test data.","113934","TC_NEG_001 - negative Goibibo Holidays scenario","tests","2026-05-21","passed","2026-05-21","","test_positive_negative","",""
